study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB1220	ERP002061	SAMEA2042284	ERS199004	ERX183730	ERR209065	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209065/ERR209065_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209065/ERR209065_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209065/ERR209065_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209065/ERR209065_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0005_081109.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0005_081109.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0005_081109.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0005_081109.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA2042284	ERS199004	ERX183731	ERR209066	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209066/ERR209066_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209066/ERR209066_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209066/ERR209066_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209066/ERR209066_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0005_081120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0005_081120.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0005_081120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0005_081120.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042285	ERS199005	ERX183732	ERR209067	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209067/ERR209067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209067/ERR209067_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209067/ERR209067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209067/ERR209067_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_081109.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_081109.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_081109.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_081109.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA2042285	ERS199005	ERX183733	ERR209068	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209068/ERR209068_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209068/ERR209068_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209068/ERR209068_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209068/ERR209068_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_081120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_081120.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_081120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_081120.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042285	ERS199005	ERX183734	ERR209069	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209069/ERR209069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209069/ERR209069_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209069/ERR209069_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209069/ERR209069_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane2.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane2.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane2.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane2.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042285	ERS199005	ERX183735	ERR209070	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209070/ERR209070_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209070/ERR209070_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209070/ERR209070_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209070/ERR209070_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane6.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane6.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane6.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane6.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042285	ERS199005	ERX183736	ERR209071	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209071/ERR209071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209071/ERR209071_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209071/ERR209071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209071/ERR209071_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane7.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane7.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane7.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane7.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042285	ERS199005	ERX183737	ERR209072	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209072/ERR209072_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209072/ERR209072_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209072/ERR209072_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209072/ERR209072_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane8.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane8.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane8.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0006_lane8.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA2042286	ERS199006	ERX183738	ERR209073	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209073/ERR209073_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209073/ERR209073_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209073/ERR209073_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209073/ERR209073_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0007_081109.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0007_081109.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0007_081109.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0007_081109.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA2042286	ERS199006	ERX183739	ERR209074	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209074/ERR209074_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209074/ERR209074_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209074/ERR209074_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209074/ERR209074_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0007_081123.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0007_081123.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0007_081123.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0007_081123.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA1972794	ERS199007	ERX183740	ERR209075	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209075/ERR209075_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209075/ERR209075_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209075/ERR209075_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209075/ERR209075_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0008_081113.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0008_081113.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0008_081113.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0008_081113.rmhost.pair.2.fq.gz		
PRJEB1220	ERP002061	SAMEA1972794	ERS199007	ERX183741	ERR209076	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209076/ERR209076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209076/ERR209076_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209076/ERR209076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209076/ERR209076_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0008_081123.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0008_081123.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0008_081123.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0008_081123.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA2042360	ERS199008	ERX183742	ERR209077	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209077/ERR209077_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209077/ERR209077_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209077/ERR209077_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209077/ERR209077_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_081203.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_081203.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_081203.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_081203.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA2042360	ERS199008	ERX183743	ERR209078	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209078/ERR209078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209078/ERR209078_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209078/ERR209078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209078/ERR209078_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_081224.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_081224.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_081224.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_081224.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA2042360	ERS199008	ERX183744	ERR209079	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209079/ERR209079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209079/ERR209079_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209079/ERR209079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209079/ERR209079_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_090109.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_090109.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_090109.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0009_090109.rmhost.pair.1.fq.gz		
PRJEB1220	ERP002061	SAMEA2042361	ERS199009	ERX183745	ERR209080	408170	human gut metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209080/ERR209080_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209080/ERR209080_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209080/ERR209080_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209080/ERR209080_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0010_081113.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0010_081113.rmhost.pair.1.fq.gz	ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0010_081113.rmhost.pair.2.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA179/ERA179067/fastq/MH0010_081113.rmhost.pair.1.fq.gz		
